"Var1","Var2","value"
"mpg","mpg",1
"cyl","mpg",-0.852161959426613
"disp","mpg",-0.847551379262479
"hp","mpg",-0.776168371826586
"drat","mpg",0.681171907806749
"wt","mpg",-0.867659376517228
"qsec","mpg",0.418684033921778
"vs","mpg",0.664038919127593
"am","mpg",0.599832429454648
"gear","mpg",0.480284757338842
"carb","mpg",-0.550925073902459
"mpg","cyl",-0.852161959426613
"cyl","cyl",1
"disp","cyl",0.902032872146999
"hp","cyl",0.83244745272182
"drat","cyl",-0.69993811382877
"wt","cyl",0.782495794463241
"qsec","cyl",-0.591242073768869
"vs","cyl",-0.810811796083005
"am","cyl",-0.522607046900675
"gear","cyl",-0.492686599389471
"carb","cyl",0.526988293749643
"mpg","disp",-0.847551379262479
"cyl","disp",0.902032872146999
"disp","disp",1
"hp","disp",0.790948586369806
"drat","disp",-0.71021392716927
"wt","disp",0.887979922058138
"qsec","disp",-0.433697880811014
"vs","disp",-0.7104158907906
"am","disp",-0.591227040063948
"gear","disp",-0.555569198562483
"carb","disp",0.394976864868969
"mpg","hp",-0.776168371826586
"cyl","hp",0.83244745272182
"disp","hp",0.790948586369806
"hp","hp",1
"drat","hp",-0.44875911687292
"wt","hp",0.658747887344759
"qsec","hp",-0.708223388861953
"vs","hp",-0.72309673735245
"am","hp",-0.243204257185851
"gear","hp",-0.125704258225474
"carb","hp",0.74981247154911
"mpg","drat",0.681171907806749
"cyl","drat",-0.69993811382877
"disp","drat",-0.71021392716927
"hp","drat",-0.44875911687292
"drat","drat",1
"wt","drat",-0.712440646697372
"qsec","drat",0.091204759651183
"vs","drat",0.440278464955349
"am","drat",0.71271112722627
"gear","drat",0.699610131934665
"carb","drat",-0.0907897988688673
"mpg","wt",-0.867659376517228
"cyl","wt",0.782495794463241
"disp","wt",0.887979922058138
"hp","wt",0.658747887344759
"drat","wt",-0.712440646697372
"wt","wt",1
"qsec","wt",-0.174715878713405
"vs","wt",-0.554915677663994
"am","wt",-0.692495258839484
"gear","wt",-0.583286996536648
"carb","wt",0.427605937735487
"mpg","qsec",0.418684033921778
"cyl","qsec",-0.591242073768869
"disp","qsec",-0.433697880811014
"hp","qsec",-0.708223388861953
"drat","qsec",0.091204759651183
"wt","qsec",-0.174715878713405
"qsec","qsec",1
"vs","qsec",0.744535443526254
"am","qsec",-0.229860862184883
"gear","qsec",-0.212682229720365
"carb","qsec",-0.656249228338059
"mpg","vs",0.664038919127593
"cyl","vs",-0.810811796083005
"disp","vs",-0.7104158907906
"hp","vs",-0.72309673735245
"drat","vs",0.440278464955349
"wt","vs",-0.554915677663994
"qsec","vs",0.744535443526254
"vs","vs",1
"am","vs",0.168345124585359
"gear","vs",0.206023348733579
"carb","vs",-0.569607141006843
"mpg","am",0.599832429454648
"cyl","am",-0.522607046900675
"disp","am",-0.591227040063948
"hp","am",-0.243204257185851
"drat","am",0.71271112722627
"wt","am",-0.692495258839484
"qsec","am",-0.229860862184883
"vs","am",0.168345124585359
"am","am",1
"gear","am",0.794058760256343
"carb","am",0.0575343510705041
"mpg","gear",0.480284757338842
"cyl","gear",-0.492686599389471
"disp","gear",-0.555569198562483
"hp","gear",-0.125704258225474
"drat","gear",0.699610131934665
"wt","gear",-0.583286996536648
"qsec","gear",-0.212682229720365
"vs","gear",0.206023348733579
"am","gear",0.794058760256343
"gear","gear",1
"carb","gear",0.274072836357522
"mpg","carb",-0.550925073902459
"cyl","carb",0.526988293749643
"disp","carb",0.394976864868969
"hp","carb",0.74981247154911
"drat","carb",-0.0907897988688673
"wt","carb",0.427605937735487
"qsec","carb",-0.656249228338059
"vs","carb",-0.569607141006843
"am","carb",0.0575343510705041
"gear","carb",0.274072836357522
"carb","carb",1
